timestamp,exercise,reps,duration_seconds
2025-09-24 07:16:05,Bicep Curls,0,37
2025-09-24 07:20:53,Bicep Curls,0,9
2025-09-24 07:22:15,Bicep Curls,0,16
2025-10-10 17:34:48,Bicep Curls,4,93
2025-10-10 17:58:31,Bicep Curls,4,74
2025-10-10 18:03:26,Bicep Curls,4,45
2025-10-10 18:30:01,Bicep Curls,0,17
2025-10-10 18:34:35,Bicep Curls,3,47
2025-10-10 19:07:22,Bicep Curls,0,9
2025-10-10 19:32:20,Bicep Curls,0,24
2025-10-10 19:40:00,Bicep Curls,0,10
2025-10-10 19:46:37,Bicep Curls,0,6
2025-10-10 20:16:17,Bicep Curls,0,11
2025-10-12 11:10:58,Bicep Curls,1,66
2025-10-12 11:15:30,Bicep Curls,0,19
2025-10-12 11:16:44,Bicep Curls,5,67
2025-10-12 11:23:59,Bicep Curls,0,11
